userId,movieId,title,year,genres,predicted_rating
31,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,3.8194742
31,194334,Les Luthiers: El Grosso Concerto (2001),2001.0,(no genres listed),3.7135794
31,201821,Civilisation (1969),1969.0,(no genres listed),3.7031875
31,192089,"National Theatre Live: One Man, Two Guvnors (2011)",2011.0,Comedy,3.6142433
31,166812,Seeing Red: Stories of American Communists (1983),1983.0,(no genres listed),3.5717232
31,101862,50 Children: The Rescue Mission of Mr. And Mrs. Kraus (2013),2013.0,Documentary,3.5400724
31,183947,NOFX Backstage Passport 2,,(no genres listed),3.5203242
31,113608,"Circle of Deception, A (1960)",1960.0,Drama|War,3.4976969
31,207996,The Parting Glass (2019),2019.0,Drama,3.4880817
31,197407,Suite Dreams (2006),2006.0,Comedy|Drama|Romance,3.4649155
34,185645,Stone Cold Steve Austin: The Bottom Line on the Most Popular Superstar of All Time (2011),2011.0,Documentary,5.426797
34,176729,John Pinette - Still Hungry (2011),2011.0,Comedy,5.3146434
34,180323,The Magnificent Scoundrels (1991),1991.0,Comedy,5.2988334
34,145871,The Grasshopper (1967),1967.0,Comedy|Romance,5.2874317
34,192689,Two in Love (1965),1965.0,Drama|Romance,5.2824078
34,167526,Panorama of Esplanade by Night (1901),1901.0,(no genres listed),5.281937
34,125465,I Ought to Be in Pictures (1982),1982.0,Comedy|Drama,5.160653
34,155437,"Cornbread, Earl and Me (1975)",1975.0,Drama,5.1327186
34,120911,My Best Enemy (2006),2006.0,Comedy,5.1069474
34,180307,Viaje a Tombuctú (2014),2014.0,Drama,5.0943995
53,192089,"National Theatre Live: One Man, Two Guvnors (2011)",2011.0,Comedy,6.479109
53,194334,Les Luthiers: El Grosso Concerto (2001),2001.0,(no genres listed),6.387663
53,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,6.1141577
53,197407,Suite Dreams (2006),2006.0,Comedy|Drama|Romance,5.9486313
53,204302,Ek Ladki Ko Dekha Toh Aisa Laga (2019),2019.0,Comedy|Drama|Romance,5.93096
53,144208,Bicycle Dreams (2009),2009.0,Adventure|Documentary,5.856254
53,194332,Muchas gracias de nada (1980),1980.0,Comedy,5.8250995
53,185213,Cirque du Soleil: Alegría (2001),2001.0,Children|Documentary,5.7138596
53,183947,NOFX Backstage Passport 2,,(no genres listed),5.6738825
53,201821,Civilisation (1969),1969.0,(no genres listed),5.660034
65,151989,The Thorn (1971),1971.0,Comedy,6.754725
65,202231,Foster (2018),2018.0,Documentary,6.3582277
65,192261,Don't Laugh at My Romance (2008),2008.0,Comedy|Drama,6.2522125
65,157791,.hack Liminality In the Case of Kyoko Tohno,,(no genres listed),6.184135
65,157787,.hack Liminality: In the Case of Mai Minase,,(no genres listed),6.184135
65,169606,Dara O'Briain Crowd Tickler (2015),2015.0,Comedy,6.0255513
65,144202,Catch That Girl (2002),2002.0,Action|Children,5.967578
65,152035,Being in the World (2009),2009.0,(no genres listed),5.9025846
65,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,5.901903
65,86288,"Day the Universe Changed, The (1985)",1985.0,Documentary,5.896633
78,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,6.114189
78,204302,Ek Ladki Ko Dekha Toh Aisa Laga (2019),2019.0,Comedy|Drama|Romance,5.9860864
78,206943,Cássia (2015),2015.0,Documentary,5.9546795
78,192089,"National Theatre Live: One Man, Two Guvnors (2011)",2011.0,Comedy,5.9320245
78,145871,The Grasshopper (1967),1967.0,Comedy|Romance,5.930452
78,183947,NOFX Backstage Passport 2,,(no genres listed),5.9098296
78,166812,Seeing Red: Stories of American Communists (1983),1983.0,(no genres listed),5.8153567
78,176729,John Pinette - Still Hungry (2011),2011.0,Comedy,5.7983284
78,180323,The Magnificent Scoundrels (1991),1991.0,Comedy,5.795494
78,154512,The Legend of Sleepy Hollow (1999),1999.0,Drama|Fantasy|Horror|Thriller,5.7900577
85,190707,1968 (2018),2018.0,(no genres listed),5.6041
85,194334,Les Luthiers: El Grosso Concerto (2001),2001.0,(no genres listed),5.5711412
85,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,5.455877
85,169648,John Pinette: I'm Starvin'! (2007),2007.0,Comedy,5.445809
85,151615,Hello Stranger (2010),2010.0,Drama,5.4338255
85,192089,"National Theatre Live: One Man, Two Guvnors (2011)",2011.0,Comedy,5.3979464
85,200930,C'est quoi la vie? (1999),1999.0,Drama,5.397562
85,203086,Truth and Justice (2019),2019.0,Drama,5.3657947
85,166812,Seeing Red: Stories of American Communists (1983),1983.0,(no genres listed),5.2814097
85,146034,Four Winds of Heaven (1963),1963.0,Drama|War,5.231906
108,157791,.hack Liminality In the Case of Kyoko Tohno,,(no genres listed),5.259746
108,157787,.hack Liminality: In the Case of Mai Minase,,(no genres listed),5.259746
108,202231,Foster (2018),2018.0,Documentary,5.0977306
108,171295,Doug Stanhope: Deadbeat Hero (2004),2004.0,Comedy,4.899922
108,187951,Father of Lights (2012),2012.0,Documentary,4.8350043
108,187949,Furious Love (2010),2010.0,Documentary,4.8350043
108,187947,Finger of God (2007),2007.0,Documentary,4.8350043
108,86288,"Day the Universe Changed, The (1985)",1985.0,Documentary,4.827645
108,152035,Being in the World (2009),2009.0,(no genres listed),4.8151593
108,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,4.804467
133,183947,NOFX Backstage Passport 2,,(no genres listed),5.152589
133,205453,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War (1984),1984.0,Documentary,4.921641
133,203086,Truth and Justice (2019),2019.0,Drama,4.921354
133,192089,"National Theatre Live: One Man, Two Guvnors (2011)",2011.0,Comedy,4.7995367
133,204302,Ek Ladki Ko Dekha Toh Aisa Laga (2019),2019.0,Comedy|Drama|Romance,4.708768
133,207077,Roger Waters: Us + Them (2019),2019.0,Documentary,4.62913
